Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2gQK13gXYZRq2MgvPJyHx8,"The Last Goodbye","The Last Goodbye","ODESZA,Bettye LaVette",2022-07-22,358983,59,,2023-03-20T14:14:51Z,"chillwave,edm,indietronica,soul blues","Foreign Family Collective/Ninja Tune",0.657,0.92,9,-2.707,1,0.0816,0.00744,0.00201,0.126,0.146,115.011,4
373gDROnujxNTFa1FojYIl,"Lost","Lost","Linkin Park",2023-02-10,199342,68,,2023-03-12T03:23:55Z,"alternative metal,nu metal,post-grunge,rap metal,rock","Warner Records",0.596,0.798,0,-4.63,1,0.0285,0.00412,0,0.338,0.459,105.01,4
1v7L65Lzy0j0vdpRjJewt1,"Lose Yourself","Just Lose It","Eminem",2004-01-01,322226,79,,2023-03-12T03:04:10Z,"detroit hip hop,hip hop,rap","Aftermath",0.686,0.735,2,-4.616,1,0.264,0.00921,0.00066,0.342,0.0596,171.355,4
0jvNc73pMCkyHTchaQu6NV,"Surviva (feat. Yogi B & Mali)","Vivegam (Original Motion Picture Soundtrack)","Anirudh Ravichander,Yogi B,MALIII",2017-08-07,222026,52,,2023-03-09T21:52:52Z,"desi hip hop,filmi,tamil hip hop,malaysian hip hop,tamil pop","Sony Music Entertainment India Pvt. Ltd.",0.608,0.919,9,-7.203,0,0.0758,0.137,0.000276,0.243,0.728,160.029,4
4oWyW7U9YVox9jqTar9k0V,"Pistah","Neram (Original Motion Picture Soundtrack)","Rajesh Murugesan,Shabareesh Varma",2013-05-03,146933,59,,2023-03-09T15:43:03Z,"mollywood","Think Music",0.625,0.766,6,-8.062,0,0.165,0.0654,0.0022,0.104,0.692,171.921,4
3PPKGIG8FHOpJP5yArO5E9,"Taxi Taxi","Sakkarakatti (Original Motion Picture Soundtrack)","A.R. Rahman,Benny Dayal,Blaaze,Viviane Chaix,Javed Ali",2008-07-11,347106,52,,2023-03-08T06:40:33Z,"filmi,modern bollywood,tamil pop,desi pop","Sony Music Entertainment India Pvt. Ltd.",0.863,0.919,1,-5.672,1,0.0973,0.0892,0,0.301,0.81,96.006,4
3h0W7VWNFZsll7EHTAQWlh,"Minnalgal Koothadum","Polladhavan (Original Motion Picture Soundtrack)","Karthik,Bombay Jeyashree",2021-06-15,409547,0,,2023-03-08T03:00:49Z,"filmi","Hariharan Music",0.729,0.448,7,-9.929,0,0.0391,0.0821,0.00071,0.0749,0.593,110.053,4
0cVrLxeQjiAcftuGzp32qY,"Newyork Nagaram","Sillunu Oru Kadhal (Original Motion Picture Soundtrack )","A.R. Rahman,Vaali",2006-08-03,378020,61,,2023-03-07T15:39:15Z,"filmi,tamil pop","Star Music",0.652,0.732,0,-8.587,1,0.0275,0.203,0.000366,0.0739,0.577,127.043,4
5lmgII1wyydsuqXEOvzpSy,"Nenjam Ellam","Aayitha Ezhutu (Original Motion Picture Soundtrack)","A.R. Rahman,Adnan Sami,Sujatha",2004-02-27,321760,48,,2023-03-07T11:59:27Z,"filmi,classic pakistani pop,modern bollywood,malayalam pop","Sony Music Entertainment India Pvt. Ltd.",0.821,0.548,9,-9.686,0,0.0442,0.271,0.00136,0.101,0.854,122.025,4
4H2ILdDNn6jkE7REM5skJC,"Vaa Thalaivaa","Varisu","Thaman S,Shankar Mahadevan,Karthik,Deepak Blue,Aravind Srinivas",2022-12-24,270048,48,,2023-03-03T02:54:00Z,"new beat,tamil pop,filmi,tollywood","T-Series",0.617,0.923,6,-7.568,0,0.11,0.731,0.0483,0.115,0.752,139.083,4
1DUaZdBqnc18ja3DY6h0dS,"Namma Satham (From Pathu Thala)","Namma Satham (From Pathu Thala)","A.R. Rahman,Yogi Sekar",2023-02-03,215489,47,,2023-03-03T01:46:36Z,"filmi,tamil pop","Sony Music Entertainment India Pvt. Ltd.",0.886,0.485,7,-8.051,1,0.283,0.128,0.000951,0.0637,0.342,121.882,4
2nKwKOpdXnHuJgC5iItUxN,"Unakkul Naane","Unakkul Naane","Pritt,dilushselva",2021-08-31,127850,0,,2023-03-02T23:35:57Z,"","0416 Recordings",0.604,0.533,0,-9.53,0,0.0562,0.67,0.000727,0.14,0.334,107.006,4
3Te8uLyit6X3ncNW8Fp3K2,"Immortals","American Beauty/American Psycho","Fall Out Boy",2015-01-16,189386,72,,2023-03-01T12:46:02Z,"emo,modern rock,pop,rock","Island Records",0.616,0.868,2,-3.606,1,0.0699,0.00131,0.00000154,0.671,0.475,108.016,4
2QjOHCTQ1Jl3zawyYOpxh6,"Sweater Weather","I Love You.","The Neighbourhood",2013-04-22,240400,89,,2023-03-01T12:22:43Z,"modern alternative rock,modern rock,pop","Columbia",0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4
1sWeSMifj6Z6kZyI6z3bRc,"Warriors","Smoke + Mirrors (Deluxe)","Imagine Dragons",2015-05-11,171040,70,,2023-03-01T12:19:50Z,"modern rock,pop,rock","Kid Ina Korner / Interscope",0.365,0.851,4,-6.238,0,0.0645,0.0964,0.003,0.237,0.309,78.086,4
0CwiF8zPjl7ESC6nDnBvPo,"MIDDLE OF THE NIGHT","End of an era","Loveless",2022-09-16,186129,52,,2023-03-01T09:39:25Z,"pop punk","Loveless",0.384,0.938,4,-6.323,0,0.124,0.000236,0,0.132,0.163,92.859,3
2vR23BjIzpLMtzsyKrM6Mb,"Saiyyan","Jhoomo Re","Kailash Kher,Paresh Kamath,Naresh Kamath",2011-06-03,343906,70,,2023-02-27T11:05:44Z,"filmi,indian folk,modern bollywood,sufi","Sony Music Entertainment India Pvt. Ltd.",0.473,0.562,0,-8.624,1,0.0451,0.65,0.000117,0.12,0.316,74.653,3
2ZD4aIEepqZsdxPxLSuUhm,"Tere Pyaar Mein","Tere Pyaar Mein (From Tu Jhoothi Main Makkaar)","Pritam,Arijit Singh,Amitabh Bhattacharya,Nikhita Gandhi",2023-02-01,266094,70,,2023-02-26T21:48:30Z,"filmi,indian instrumental,modern bollywood,desi pop","T-Series",0.68,0.753,9,-5.492,0,0.0543,0.123,0,0.173,0.413,118.965,4
